VPC run info
"","          Date","  observations","   simulations","     Modelfile","Simulation model","Independent variable","Dependent variable","   PsN version","NONMEM version",
"",     2026-6-30,           760,           100,      acop.mod,auto-generated,          TIME,            DV,        v5.7.1,       default,

VPC results  
Continuous data
760 observations out of 760
"","        < TIME","            <=","    median.idv","    no. of obs","     mean real","      mean sim","95%CI for mean from","95%CI for mean to","      50% real","       50% sim","95%CI for 50% from","95%CI for 50% to","      30% real","       30% sim","95%CI for 30% from","95%CI for 30% to","      70% real","       70% sim","95%CI for 70% from","95%CI for 70% to","      10% real","       10% sim","95%CI for 10% from","95%CI for 10% to","      90% real","       90% sim","95%CI for 90% from","95%CI for 90% to","       5% real","        5% sim","95%CI for 5% from","95%CI for 5% to","      95% real","       95% sim","95%CI for 95% from","95%CI for 95% to","     2.5% real","      2.5% sim","95%CI for 2.5% from","95%CI for 2.5% to","    97.5% real","     97.5% sim","95%CI for 97.5% from","95%CI for 97.5% to","PI 40% False pos (%)","PI 40% False neg (%)","PI 80% False pos (%)","PI 80% False neg (%)","PI 90% False pos (%)","PI 90% False neg (%)","PI 95% False pos (%)","PI 95% False neg (%)",
"first interval is closed",-2.14285714285714,           5.5,         1.625,           560,      16.01455,      577.9842,      526.5215,      637.6356,       15.4245,        574.07,       512.615,        638.37,    1.2662E+01,    4.4960E+02,    3.9783E+02,    5.0345E+02,    1.9986E+01,    7.0991E+02,    6.3779E+02,    7.7760E+02,    6.9577E+00,    1.9081E+02,    1.5577E+02,    2.5231E+02,    2.6577E+01,    9.4072E+02,    8.3680E+02,    1.0480E+03,    5.4183E-01,    8.0832E-02,   -2.4326E-01,    4.2342E-01,    2.8667E+01,    1.0695E+03,    9.3197E+02,    1.2185E+03,   -3.6637E-01,   -6.4039E-01,   -9.0502E-01,   -2.6991E-01,    3.1180E+01,    1.1938E+03,    1.0264E+03,    1.4031E+03,      2.678571,             0,      5.178571,             0,      3.392857,      93.21429,      1.428571,      92.85714,
"",           5.5,          11.5,           8.5,            80,      9.776226,      155.3896,      131.6902,      180.8366,        9.4318,        150.75,       123.665,        179.57,    8.3015E+00,    9.5830E+01,    7.4849E+01,    1.3405E+02,    1.1197E+01,    2.0536E+02,    1.7040E+02,    2.3513E+02,    5.2004E+00,    3.2065E+01,    1.3551E+01,    6.4877E+01,    1.5134E+01,    2.7976E+02,    2.4054E+02,    3.1832E+02,    4.2707E+00,    1.1804E+01,    2.4956E+00,    3.8004E+01,    1.6266E+01,    3.1919E+02,    2.6686E+02,    3.5433E+02,    2.7162E+00,    1.0290E+00,   -4.0457E-02,    2.4591E+01,    1.7953E+01,    3.5327E+02,    2.8789E+02,    4.0684E+02,             0,             0,          1.25,             0,          3.75,          22.5,             0,          72.5,
"",          11.5,          17.5,          14.5,            80,      5.843256,      50.52284,      35.69163,      63.41111,        5.5154,       36.7415,       22.8495,        55.798,    3.8927E+00,    1.5215E+01,    7.9345E+00,    3.3467E+01,    7.5491E+00,    6.7724E+01,    4.7122E+01,    8.5706E+01,    1.6778E+00,    2.1722E+00,    4.8006E-01,    8.5750E+00,    1.0732E+01,    1.2032E+02,    7.9510E+01,    1.4613E+02,    8.9925E-01,    5.7445E-01,   -5.5424E-01,    3.0369E+00,    1.1550E+01,    1.4677E+02,    9.5190E+01,    1.7801E+02,    5.6404E-01,   -2.7229E-01,   -1.1523E+00,    1.6829E+00,    1.3293E+01,    1.6889E+02,    1.1364E+02,    2.0783E+02,             5,             0,          3.75,         38.75,             0,         18.75,          1.25,             5,
"",          17.5,          20.5,            19,            40,      4.223871,      24.02687,      14.18323,      32.11562,        3.8263,        12.096,       5.11885,        26.111,    3.1525E+00,    3.7726E+00,    1.9148E+00,    1.1585E+01,    5.6810E+00,    2.9288E+01,    1.5319E+01,    4.3572E+01,    9.3494E-01,    3.7582E-01,   -3.4741E-01,    2.4966E+00,    8.4208E+00,    6.6421E+01,    3.3334E+01,    9.1124E+01,   -7.6163E-01,   -2.8536E-01,   -9.1154E-01,    8.6773E-01,    9.3872E+00,    8.7102E+01,    4.2189E+01,    1.1104E+02,   -7.6718E-01,   -7.3553E-01,   -1.4796E+00,    4.2232E-01,    9.6308E+00,    1.0662E+02,    5.4034E+01,    1.3056E+02,          12.5,          32.5,             0,            10,             0,           2.5,           2.5,           2.5,

Diagnostics VPC  
""," False pos (%)"," False neg (%)",
"       PI 40% ",      3.157895,      1.710526,
"       PI 80% ",      4.342105,      4.605263,
"       PI 90% ",      2.894737,      73.15789,
"       PI 95% ",      1.315789,      76.71053,

NPC results  
bin 2: 560 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",           527,      94.10714,             *,      35.53571,      61.60714,            33,      5.892857,             *,      38.39286,      64.46429,
"        40% PI",           519,      92.67857,             *,         18.75,      43.39286,            26,      4.642857,             *,      20.53571,      40.71429,
"        80% PI",           512,      91.42857,             *,      3.035714,      17.32143,            19,      3.392857,             *,      3.928571,      18.21429,
"        90% PI",           509,      90.89286,             *,     0.5357143,      11.07143,            15,      2.678571,              ,     0.7142857,      11.96429,
"        95% PI",           508,      90.71429,             *,             0,      7.142857,            13,      2.321429,              ,             0,      5.178571,

NPC results  
bin 3: 80 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            78,          97.5,             *,            35,            65,             2,           2.5,             *,            35,            65,
"        40% PI",            78,          97.5,             *,            15,          42.5,             2,           2.5,             *,         16.25,         43.75,
"        80% PI",            77,         96.25,             *,           2.5,            20,             2,           2.5,              ,          1.25,            20,
"        90% PI",            71,         88.75,             *,             0,         13.75,             2,           2.5,              ,             0,          12.5,
"        95% PI",            57,         71.25,             *,             0,           7.5,             2,           2.5,              ,             0,          6.25,

NPC results  
bin 4: 80 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            78,          97.5,             *,            35,          62.5,             2,           2.5,             *,          37.5,            65,
"        40% PI",            74,          92.5,             *,         16.25,         43.75,             2,           2.5,             *,          17.5,         46.25,
"        80% PI",            37,         46.25,             *,           2.5,            20,             2,           2.5,              ,             0,          17.5,
"        90% PI",            16,            20,             *,             0,         11.25,             2,           2.5,              ,             0,          12.5,
"        95% PI",             2,           2.5,              ,             0,           7.5,             2,           2.5,              ,             0,           7.5,

NPC results  
bin 5: 40 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            38,            95,             *,          32.5,          62.5,             2,             5,             *,          37.5,          67.5,
"        40% PI",            26,            65,             *,          17.5,            45,             1,           2.5,             *,          17.5,          47.5,
"        80% PI",             7,          17.5,              ,           2.5,            20,             1,           2.5,              ,           2.5,          17.5,
"        90% PI",             3,           7.5,              ,             0,            10,             1,           2.5,              ,             0,          12.5,
"        95% PI",             2,             5,              ,             0,           7.5,             1,           2.5,              ,             0,           7.5,
